code,product_name,brands,stores,categories,nutriscore_grade,nova_group,ecoscore_grade,countries,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g
00013029,Cheddar,McDonald's,McDonald's,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de vache, Fromages du Royaume-Uni, Fromages d'Angleterre, Fromages en tranches, Cheddars, Cheddar en tranches",unknown,4,,"France,Royaume-Uni,Suède,Danemark,Norvège,Espagne,Pologne",,,,,,,
0038900012267,Tropical Gold Pineapple slices in 100% pineapple juice,Dole,,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Canned foods, Desserts, Canned plant-based foods, Fruits based foods, Fruits, Canned fruits, Tropical fruits, Fruits in syrup, Pineapple, Pineapple in syrup, Canned pineapples, en:canned-fruits-in-juice",b,1,,"France, Germany, Poland, Switzerland, en:united-kingdom",,,,,,,
0070177247454,,,,en:teas,unknown,,,Польша,,,,,,,
0072965552511,Salt water taffy autumn mix,,,"Snacks, Sweet snacks, Confectioneries",e,4,,"Poland, United States",,,,,,,
0074603003287,Ramen kimchi,"NongshimSamyang,SamYang","Paris Store,Carrefour","Żywność i napoje na bazie roślin,Żywność na bazie roślin,Posiłki,Produkty suszone,Makarony,en:Dried products to be rehydrated,Kluski,Makarony instant,Zupy z makaronem instant",unknown,4,,"Francja,Polska",,,,,,,
0084909002341,Rote Currypaste,"Cock Brand, Thai World Import & Export Co.",,,e,3,,,,,,,,,
07281224,,,,,unknown,,,Polska,,,,,,,
0819538000075,Sparkling pink lemonade,"Effervé,Eurobubblies Inc.",,"Beverages, Carbonated drinks, Sodas, Lemonade, Sweetened beverages",e,4,,"Polska,Stany Zjednoczone",,,,,,,
10041475,Red onions,Tesco,Tesco,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Przyprawy, Produkty na bazie warzyw i owoców, en:Culinary plants, Produkty na bazie warzyw, en:Onions and their products, Cebula, en:Red onions",c,,,Polska,,,,,,,
1103086260005,"Lingonberry jam, organic",IKEA,IKEA,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Spreads,Plant-based spreads,Sweet spreads,Fruit and vegetable preserves,Jams,Berry jams,Blueberry jams,Bilberry jams,Lingonberries jams",d,4,,"Croatia, France, Germany, Italy, Poland, Portugal, Spain, Switzerland, United Kingdom, en:belgium",,,,,,,
1200288900002,Sås Senap & Dill - Sauce à la moutarde et à l'aneth,IKEA,Ikea,"Condiments, Sauces, Moutardes",d,4,,"Belgium, France, Germany, Italy, Poland, Spain, Switzerland, en:united-kingdom",,,,,,,
1303847420000,KAFFEREP,IKEA,IKEA,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits",e,4,,"Česko,Francie,Lotyšsko,Litva,Polsko",,,,,,,
16811207,petit déjeuner miel et pépites de chocolat,TOBLERONE,,"Snacks,Breakfasts,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Dry biscuits,Breakfast biscuit,Breakfast biscuit with cereals fortified with vitamins and chemical elements",e,4,,"Belgium, Bulgaria, France, Germany, Morocco, Poland, Romania, Switzerland, United Kingdom, en:spain",,,,,,,
2000000018904,Boletus Edulis in Can,Délices des Bois,Lesne Skarby,en:Mushroom in sunflower oil,c,3,,Polska,,,,,,,
2000000024993,Tomato Ketchup,McDonald's,McDonald's,"Condimentos,Molhos,Molhos de tomate,Ketchup,en:Tomato Ketchup,en:Groceries",d,4,,"França,Grécia,Itália,Polónia,Espanha,Reino Unido",,,,,,,
2000000040676,Hořčicová omáčka,McDonalds,,"en:Condiments, en:Sauces, Hořčice, en:groceries",unknown,,,"Česko,Polsko",,,,,,,
2000000070495,maizena,,,,unknown,,,Pologne,,,,,,,
20000653,Doce Extra Fresa Morango,Maribel,Lidl,"Cibi e bevande a base vegetale,Cibi a base vegetale,Cibi a base di frutta e verdura,Colazioni,Spalmabili,Cibi a base di frutta,Spalmabili a base di piante,Spalmabili dolci,Conserve di frutta,Confetture e marmellate,Confetture di frutti di bosco,Confetture di agrumi,Marmellate,Confetture di fragole,Confettura extra",d,4,,"Belgio,Cina,Croazia,Francia,Germania,Polonia",,,,,,,
20001360,Stracciatella Premium Eis,Bon Gelati,Lidl,"Desserts, Tiefkühlprodukte, Tiefkühl-Desserts, Speiseeis und Sorbets, Speiseeis, Eisbecher, en:Stracciatella ice cream tubs",d,4,,"Франция,Германия,Полша,Швеция,България",,,,,,,
20001407,Bon Gelati Eiscreme mit Schlagsahne,"Bon Gelati, Gelatelli",Lidl,"Milchprodukte, Desserts, Milchnachspeisen, Tiefkühlprodukte, Tiefkühl-Desserts, Speiseeis und Sorbets, Schokoladendesserts, Speiseeis, Eisbecher, Eisbecher Schokolade",d,4,,"France,Germany,Hungary,Poland,Spain,Switzerland",,,,,,,
20002589,Lasagne Bolognese,"Chef Select,Lidl",Lidl,"Produtos à base de carne,Refeições,Pratos de massa,Refeições com carne,Lasanha preparada,Refeiçoes com porco,en:Meat lasagnas,Refeições para micro-ondas,en:Bolognese lasagne",c,4,,"Tschechien, Frankreich, Ungarn, Polen, Schweden, Germany",,,,,,,
20003234,Müsli Multifrucht,Crownfield,Lidl,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Cereals with fruits,Mueslis,Bircher-style mueslis,Mueslis with fruits,Bircher-style mueslis with fruits",b,3,,"France,Germany,Hungary,Italy,Poland,Spain",,,,,,,
20003395,Haselnüsse gemahlen,"Belbake, Lidl",Lidl,"Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Fette, Nüsse und Nussprodukte, Pflanzenfette, Nüsse, Haselnüsse, Nusskerne, Geschälte Haselnüsse, Haselnusspulver",a,2,,"Francuska,Njemačka,Sjedinjene Američke Države,Hrvatska,Poljska,Mađarska,Slovačka,Srbija",,,,,,,
20004408,Rodekool Chou rouge,"Alpenfest style, Freshona, Freshona - Lidl, Alpen Fest style",Lidl,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Conservas, Verduras y hortalizas y sus productos, Alimentos de origen vegetal en conserva, Hortalizas, Verduras y hortalizas en conserva, Verduras de hoja, Repollos, Lombardas",a,3,,"Tschechien,Frankreich,Deutschland,Polen,Slowakei,Spanien,Schweiz",,,,,,,
20005726,Nut & Fruit Mix Classic,Alesto,Lidl,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Snacks,Produits déshydratés,Fruits et produits dérivés,Aliments à base de plantes séchées,Fruits secs,en:dried-mixed-fruits,Mélange apéritif de graines et fruits séchés,Mélange apéritif de graines et raisins secs,en:nuts-with-dried-fruits",d,1,,"Bulgarie,Croatie,France,Allemagne,Pologne,Roumanie,Serbie,Espagne",,,,,,,
20005733,"Walnusskerne, angebrochen",Alesto,Lidl,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Nüsse und Nussprodukte,Nüsse,Nusskerne,Walnüsse,Walnusskerne",a,1,,"Österreich,Belgien,Bulgarien,Kroatien,Dänemark,Frankreich,Deutschland,Italien,Niederlande,Polen,Portugal,Rumänien,Serbien,Spanien",,,,,,,
20005825,Melk Lait,Fin Carré,Lidl,"Svačiny,Sladké svačiny,en:Cocoa and its products,Čokolády,Mléčné čokolády",e,,,"Bulharsko,Estonsko,Finsko,Francie,Německo,Maďarsko,Polsko,Rumunsko,Slovinsko,Španělsko,Česko",,,,,,,
20013578,Rapsöl,Vita d'Or,Lidl,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Fette,Pflanzenfette,Pflanzenöle,Rapsöle",b,,,"Frankreich,Deutschland,Polen,Schweiz",,,,,,,
20022464,NOIR INTENSE 74% CACAO,fin CARRÉ,Lidl,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Extra fine dark chocolates,Cacao-et-derives",e,4,,"Belgium,Bulgaria,Czech Republic,Finland,Germany,Netherlands,Poland,Spain",,,,,,,
20026752,Piri-Piri,"Sol & Mar, Lidl, Lidl Sol & Mar",Lidl,"Condiments,Sauces,Hot sauces,Hot-chilli,Chili peppers",not-applicable,4,,"Bulgaria,France,Germany,Italy,Poland",,,,,,,
20029968,,Sondey,Lidl,"Lanches comida,Lanches doces,Biscoitos e Bolos,en:Biscuits and crackers,Biscoitos",e,4,,"França,Polónia,Portugal,Espanha",,,,,,,
20036232,Dominos dark chocolate,Favorina,Lidl,"Imbiss,Süßer Snack,Kakao und Kakaoprodukte,Süßwaren,Festtagsessen,Schokoladenkonfekt,Pralinen,Dominosteine",e,4,,"Österreich,Tschechien,Deutschland,Polen,Spanien",,,,,,,
20037680,"Mleko zagęszczone 7,5%",Pilos,Lidl,"Produits laitiers,Laits (fluide et poudre),Laits,Laits concentrés,Laits concentrés non sucrés,Laits condensés,Lait concentré entier non sucré",e,4,,"Франция,Германия,Полша,България",,,,,,,
20039486,Gurkensticks,Freshona,LIDL,"Növényi alapú élelmiszerek és italok,Növényialapú élelmiszerek,Gyümölcsök és zöldségek alapú élelmiszerek,Konzervek,Zöldség alapú élelmiszerek,Növényialapú élelmiszerek konzervben,Savanyúságok,Zöldségkonzervek,Növényi savanyúságok,Zöldséges savanyúság,Savanyú uborka,en:Gherkins",c,4,,"Németország,Magyarország,Lengyelország",,,,,,,
