code,market,product_name,brands,stores,categories,nutriscore_grade,nova_group,ecoscore_grade,image_url,image_front_url,image_front_small_url,energy-kcal_100g,sugars_100g,salt_100g,fat_100g,proteins_100g
00013029,Poland,Cheddar,McDonald's,McDonald's,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de vache, Fromages du Royaume-Uni, Fromages d'Angleterre, Fromages en tranches, Cheddars, Cheddar en tranches",unknown,4,,,,,,,,,
0038900012267,Poland,Tropical Gold Pineapple slices in 100% pineapple juice,Dole,,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Canned foods, Desserts, Canned plant-based foods, Fruits based foods, Fruits, Canned fruits, Tropical fruits, Fruits in syrup, Pineapple, Pineapple in syrup, Canned pineapples, en:canned-fruits-in-juice",b,1,,,,,,,,,
0070177247454,Poland,,,,en:teas,unknown,,,,,,,,,,
0072965552511,Poland,Salt water taffy autumn mix,,,"Snacks, Sweet snacks, Confectioneries",e,4,,,,,,,,,
0074603003287,Poland,Ramen kimchi,"NongshimSamyang,SamYang","Paris Store,Carrefour","Żywność i napoje na bazie roślin,Żywność na bazie roślin,Posiłki,Produkty suszone,Makarony,en:Dried products to be rehydrated,Kluski,Makarony instant,Zupy z makaronem instant",unknown,4,,,,,,,,,
0084909002341,Poland,Rote Currypaste,"Cock Brand, Thai World Import & Export Co.",,,e,3,,,,,,,,,
07281224,Poland,,,,,unknown,,,,,,,,,,
0819538000075,Poland,Sparkling pink lemonade,"Effervé,Eurobubblies Inc.",,"Beverages, Carbonated drinks, Sodas, Lemonade, Sweetened beverages",e,4,,,,,,,,,
10041475,Poland,Red onions,Tesco,Tesco,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Przyprawy, Produkty na bazie warzyw i owoców, en:Culinary plants, Produkty na bazie warzyw, en:Onions and their products, Cebula, en:Red onions",c,,,,,,,,,,
1103086260005,Poland,"Lingonberry jam, organic",IKEA,IKEA,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Spreads,Plant-based spreads,Sweet spreads,Fruit and vegetable preserves,Jams,Berry jams,Blueberry jams,Bilberry jams,Lingonberries jams",d,4,,,,,,,,,
1200288900002,Poland,Sås Senap & Dill - Sauce à la moutarde et à l'aneth,IKEA,Ikea,"Condiments, Sauces, Moutardes",d,4,,,,,,,,,
1303847420000,Poland,KAFFEREP,IKEA,IKEA,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits",e,4,,,,,,,,,
16811207,Poland,petit déjeuner miel et pépites de chocolat,TOBLERONE,,"Snacks,Breakfasts,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Dry biscuits,Breakfast biscuit,Breakfast biscuit with cereals fortified with vitamins and chemical elements",e,4,,,,,,,,,
2000000018904,Poland,Boletus Edulis in Can,Délices des Bois,Lesne Skarby,en:Mushroom in sunflower oil,c,3,,,,,,,,,
2000000024993,Poland,Tomato Ketchup,McDonald's,McDonald's,"Condimentos,Molhos,Molhos de tomate,Ketchup,en:Tomato Ketchup,en:Groceries",d,4,,,,,,,,,
2000000040676,Poland,Hořčicová omáčka,McDonalds,,"en:Condiments, en:Sauces, Hořčice, en:groceries",unknown,,,,,,,,,,
2000000070495,Poland,maizena,,,,unknown,,,,,,,,,,
20000653,Poland,Doce Extra Fresa Morango,Maribel,Lidl,"Cibi e bevande a base vegetale,Cibi a base vegetale,Cibi a base di frutta e verdura,Colazioni,Spalmabili,Cibi a base di frutta,Spalmabili a base di piante,Spalmabili dolci,Conserve di frutta,Confetture e marmellate,Confetture di frutti di bosco,Confetture di agrumi,Marmellate,Confetture di fragole,Confettura extra",d,4,,,,,,,,,
20001360,Poland,Stracciatella Premium Eis,Bon Gelati,Lidl,"Desserts, Tiefkühlprodukte, Tiefkühl-Desserts, Speiseeis und Sorbets, Speiseeis, Eisbecher, en:Stracciatella ice cream tubs",d,4,,,,,,,,,
20001407,Poland,Bon Gelati Eiscreme mit Schlagsahne,"Bon Gelati, Gelatelli",Lidl,"Milchprodukte, Desserts, Milchnachspeisen, Tiefkühlprodukte, Tiefkühl-Desserts, Speiseeis und Sorbets, Schokoladendesserts, Speiseeis, Eisbecher, Eisbecher Schokolade",d,4,,,,,,,,,
20002589,Poland,Lasagne Bolognese,"Chef Select,Lidl",Lidl,"Produtos à base de carne,Refeições,Pratos de massa,Refeições com carne,Lasanha preparada,Refeiçoes com porco,en:Meat lasagnas,Refeições para micro-ondas,en:Bolognese lasagne",c,4,,,,,,,,,
20003234,Poland,Müsli Multifrucht,Crownfield,Lidl,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Cereals with fruits,Mueslis,Bircher-style mueslis,Mueslis with fruits,Bircher-style mueslis with fruits",b,3,,,,,,,,,
20003395,Poland,Haselnüsse gemahlen,"Belbake, Lidl",Lidl,"Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Fette, Nüsse und Nussprodukte, Pflanzenfette, Nüsse, Haselnüsse, Nusskerne, Geschälte Haselnüsse, Haselnusspulver",a,2,,,,,,,,,
20004408,Poland,Rodekool Chou rouge,"Alpenfest style, Freshona, Freshona - Lidl, Alpen Fest style",Lidl,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Conservas, Verduras y hortalizas y sus productos, Alimentos de origen vegetal en conserva, Hortalizas, Verduras y hortalizas en conserva, Verduras de hoja, Repollos, Lombardas",a,3,,,,,,,,,
20005726,Poland,Nut & Fruit Mix Classic,Alesto,Lidl,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Snacks,Produits déshydratés,Fruits et produits dérivés,Aliments à base de plantes séchées,Fruits secs,en:dried-mixed-fruits,Mélange apéritif de graines et fruits séchés,Mélange apéritif de graines et raisins secs,en:nuts-with-dried-fruits",d,1,,,,,,,,,
20005733,Poland,"Walnusskerne, angebrochen",Alesto,Lidl,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Nüsse und Nussprodukte,Nüsse,Nusskerne,Walnüsse,Walnusskerne",a,1,,,,,,,,,
20005825,Poland,Melk Lait,Fin Carré,Lidl,"Svačiny,Sladké svačiny,en:Cocoa and its products,Čokolády,Mléčné čokolády",e,,,,,,,,,,
20013578,Poland,Rapsöl,Vita d'Or,Lidl,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Fette,Pflanzenfette,Pflanzenöle,Rapsöle",b,,,,,,,,,,
20022464,Poland,NOIR INTENSE 74% CACAO,fin CARRÉ,Lidl,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Extra fine dark chocolates,Cacao-et-derives",e,4,,,,,,,,,
20026752,Poland,Piri-Piri,"Sol & Mar, Lidl, Lidl Sol & Mar",Lidl,"Condiments,Sauces,Hot sauces,Hot-chilli,Chili peppers",not-applicable,4,,,,,,,,,
20029968,Poland,,Sondey,Lidl,"Lanches comida,Lanches doces,Biscoitos e Bolos,en:Biscuits and crackers,Biscoitos",e,4,,,,,,,,,
20036232,Poland,Dominos dark chocolate,Favorina,Lidl,"Imbiss,Süßer Snack,Kakao und Kakaoprodukte,Süßwaren,Festtagsessen,Schokoladenkonfekt,Pralinen,Dominosteine",e,4,,,,,,,,,
20037680,Poland,"Mleko zagęszczone 7,5%",Pilos,Lidl,"Produits laitiers,Laits (fluide et poudre),Laits,Laits concentrés,Laits concentrés non sucrés,Laits condensés,Lait concentré entier non sucré",e,4,,,,,,,,,
20039486,Poland,Gurkensticks,Freshona,LIDL,"Növényi alapú élelmiszerek és italok,Növényialapú élelmiszerek,Gyümölcsök és zöldségek alapú élelmiszerek,Konzervek,Zöldség alapú élelmiszerek,Növényialapú élelmiszerek konzervben,Savanyúságok,Zöldségkonzervek,Növényi savanyúságok,Zöldséges savanyúság,Savanyú uborka,en:Gherkins",c,4,,,,,,,,,
20041663,Poland,SARDINE IN ULEI,NIXE,LIDL,"Productos del mar,en:Fishes and their products,Conservas,Pescados,en:Fatty fishes,Conservas de pescado,Sardinas,Sardinas en conserva,Sardinas en aceite,Sardinas en aceite de girasol",d,3,,,,,,,,,
20044350,Poland,Iodised Salt,ChanteSel,Lidl,Sea igneous white salt for human consumption with added iodine,not-applicable,2,,,,,,,,,
20046347,Poland,Cocos & choco minis,Mister Choc,Lidl,"Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Confiseries chocolatées, Barres, Barres chocolatées",e,4,,,,,,,,,
20047238,Poland,Nussmix,Alesto,Lidl,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Fruits à coques et dérivés,Fruits à coques,Mélanges de fruits à coque",c,1,,,,,,,,,
20052621,Poland,Mąka pszenna,Castello,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Mąki",a,,,,,,,,,,
20053963,Poland,Ryż biały długoziarnisty,Golden Sun,lidl,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Zboża i ziemniaki, Nasiona, Zboża i produkty zbożowe, en:Cereal grains, Ryże, Ryż biały",b,1,,,,,,,,,
20059903,Poland,Glace Erdbeer Strawberry ice cream premium,"Bon Gelati, Gelatelli",Lidl,"Desserts, Tiefkühlprodukte, Tiefkühl-Desserts, Speiseeis und Sorbets, Speiseeis, Eisbecher, en:Strawberry ice cream tubs",d,4,,,,,,,,,
